nome_da_música,nome_do_artista,rank_de_todos_os_tempos,pontuação_da_faixa,reproduções_spotify,contagem_de_playlists_spotify,alcance_das_playlists_spotify,popularidade_no_spotify,contagem_playlists_apple_music,contagem_playlists_deezer,alcance_playlists_deezer
Alcohol-Free,TWICE,"3,634",22.5,"224,295,163","24,906","7,188,926",62,25,1,"32,602"
Bad boy,Marwa Loud,"3,639",22.5,"228,588,822","55,077","5,070,531",63,12,9,"15,135"
Voices In My Head,Falling In Reverse,"3,644",22.5,"122,568,479","33,824","2,017,666",68,7,3,"7,303"
LA NENA,Lyanno,"3,643",22.5,"29,683,046","4,064","52,935,650",80,10,6,"88,547"
Algo Mï¿½ï¿½,Rauw Alejandro,"3,648",22.5,"304,134,537","57,388","9,038,307",64,40,6,"46,735"
Quicksand,Morray,"3,642",22.5,"92,536,126","39,798","3,748,995",53,27,4,"2,505"
Singapur,El Alfa,"3,641",22.5,"200,520,284","32,859","6,302,679",64,6,4,"17,685"
Just Dance,Lady Gaga,"3,629",22.5,"1,062,571,821","183,102","83,157,868",74,166,69,"1,145,161"
Tom's Diner,AnnenMayKantereit,"3,640",22.5,"296,543,065","117,924","14,177,874",68,12,16,"103,155"
La Jeepeta - Remix,Nio Garcia,"3,625",22.5,"672,449,007","89,441","25,654,350",64,68,27,"345,282"
Marvins Room,Drake,"3,624",22.5,"597,923,434","102,247","25,718,396",68,81,12,"148,200"
The Motto,Drake,"3,630",22.5,"549,699,659","89,323","25,996,675",68,89,21,"241,905"
Hot (feat. Gunna),Young Thug,"3,635",22.5,"387,820,994","84,975","16,825,587",64,46,15,"26,150"
moment,Vierre Cloud,"3,628",22.5,"383,570,519","111,710","19,093,657",71,9,4,"59,180"
Heaven Takes You Home,Swedish House Mafia,"3,649",22.5,"248,202,976","55,197","31,793,054",71,50,35,"1,204,670"
God Damn,Badshah,"3,651",22.4,"34,233,316","1,547","5,202,586",70,9,2,796
"Tested, Approved & Trusted",Burna Boy,"3,658",22.4,"42,115,225","15,081","3,685,016",61,50,6,"39,982"
GALOPA,PEDRO SAMPAIO,"3,667",22.4,"210,287,302","26,385","7,610,967",57,17,36,"74,508"
Reckless,Madison Beer,"3,670",22.4,"504,851,489","57,183","22,431,648",66,43,12,"84,499"
Paint The Town Red,Doja Cat,"3,678",22.4,"1,065,399,331","3,719","1,828,974",52,51,2,"7,982"
BEST ON EARTH (feat. BIA) - Bonus,Russ,"3,665",22.4,"236,121,136","50,891","7,553,724",60,34,15,"11,093"
Drunk (And I Don't Wanna Go Home),Elle King,"3,676",22.4,"198,817,832","29,696","13,496,258",61,53,4,991
Overdrive,Post Malone,"3,669",22.4,"130,236,751","27,992","6,772,366",63,17,15,"366,175"
Cuando Nadie Ve,Morat,"3,673",22.4,"621,596,476","41,914","21,124,626",72,23,36,"1,908,898"
Freak (feat. REI AMI),Sub Urban,"3,652",22.4,"193,103,080","47,712","8,225,689",62,5,2,"5,607"
Sugar Rush Ride,TOMORROW X TOGETHER,"3,672",22.4,"178,523,233","14,560","6,470,472",67,11,5,"36,012"
Without You (feat. Sandro Cavazza),Avicii,"3,662",22.4,"1,074,175,360","135,290","29,277,394",73,82,46,"259,328"
IDGAF,Dua Lipa,"3,675",22.4,"1,583,012,380","108,894","36,019,109",71,129,190,"438,831"
Maniac,Conan Gray,"3,653",22.4,"845,222,205","109,624","33,327,204",71,58,17,"25,809"
Love Me Harder,Ariana Grande,"3,655",22.4,"917,284,463","80,957","31,639,571",73,84,55,"778,510"
Si Supieras,Daddy Yankee,"3,677",22.4,"306,404,848","33,666","10,575,144",63,47,14,"108,812"
Love Someone,Lukas Graham,"3,674",22.4,"753,200,066","76,430","26,556,274",63,51,38,"48,577"
Dance Alone,Sia,"3,660",22.4,"25,180,079","3,020","15,579,341",3,46,32,"6,943,957"
Suano,NTG,"3,656",22.4,"15,333,864","1,439","35,368,637",71,6,5,"555,882"
Heart On Ice,Rod Wave,"3,659",22.4,"320,136,804","70,340","8,592,699",62,24,2,"8,128"
POP/STARS,K/DA,"3,650",22.4,"352,999,804","49,066","6,820,467",64,16,10,"27,275"
Ring (feat. Kehlani),Cardi B,"3,671",22.4,"242,105,356","25,649","5,257,047",59,21,7,"36,419"
Potion (with Dua Lipa & Young Thug),Calvin Harris,"3,657",22.4,"221,965,013","38,872","27,661,038",60,58,62,"1,596,584"
Pï¿½ï¿½gina De Ex - Ao Vivo N,Mari Fernandez,"3,666",22.4,"13,842,105",920,"16,028,156",71,4,11,"805,419"
"Young, Wild & Free (feat. Bruno Mars)",Snoop Dogg,"3,679",22.4,"1,431,126,152","247,483","44,736,824",70,95,69,"289,282"
NEW MAGIC WAND,"Tyler, The Creator","3,703",22.3,"617,991,511","145,653","18,875,661",74,16,8,"73,030"
Monster,LUM!X,"3,704",22.3,"324,575,469","84,886","16,138,519",66,25,27,"599,230"
"SI SI SI SI (feat. Eladio Carrion, Bryant Myers, Dei V)",The Academy: Segunda Misiï¿½,"3,684",22.3,"35,185,414","3,730","5,697,401",68,21,3,"21,209"
River (feat. Ed Sheeran),Eminem,"3,691",22.3,"830,410,811","95,470","18,564,708",67,49,24,"54,375"
Wide Awake,Katy Perry,"3,681",22.3,"447,997,798","47,976","35,749,050",73,29,14,"144,663"
Lush Life,Zara Larsson,"3,687",22.3,"1,429,205,245","151,855","83,732,411",78,200,126,"2,293,474"
Kitty,Kenia OS,"3,680",22.3,"23,061,213",703,"18,729,564",77,11,18,"214,885"
Wildberry Lillet,Nina Chuba,"3,694",22.3,"161,145,820","46,697","7,654,058",58,25,10,"582,833"
Amapiano,Asake,"3,701",22.3,"68,990,989","21,556","4,941,800",63,53,5,"101,774"
Hola Seï¿½ï¿½o,GIMS,"3,695",22.3,"208,249,257","42,423","5,969,962",58,78,19,"684,768"
M.A (Mejores Amigos),BM,"3,697",22.3,"179,475,517","26,160","3,816,329",2,2,4,"139,218"
Take A Bite,beabadoobee,"3,700",22.3,"18,634,348","2,529","28,016,380",78,35,15,"156,944"
Dream Girl - Remix,Ir Sais,"3,699",22.3,"289,196,126","56,563","16,313,578",64,72,10,"281,695"
Me Enamorï¿,Shakira,"3,685",22.3,"388,986,035","32,035","11,367,243",61,52,41,"299,770"
Geri Dï¿½ï¿½nem,Semicenk,"3,702",22.3,"111,150,894","11,465","6,557,932",67,7,1,"1,089"
on the street (with J. Cole),j-hope,"3,689",22.3,"183,683,364","21,804","15,669,021",63,15,1,207
What Ifs (feat. Lauren Alaina),Kane Brown,"3,696",22.3,"516,523,975","45,773","14,539,681",67,39,3,"4,887"
SET ME FREE,TWICE,"3,705",22.3,"117,186,345","11,752","4,854,730",62,11,3,"52,357"
Say Something,A Great Big World,"3,714",22.2,"1,064,534,331","116,991","57,390,894",65,102,71,"421,702"
You Belong With Me,Taylor Swift,"3,720",22.2,"643,828,366","87,942","27,210,610",66,45,19,"138,459"
"Sex, Drugs, Etc.",Beach Weather,"3,731",22.2,"818,926,915","160,628","48,988,304",77,37,36,"344,006"
Tchuco Nela,MC Rogerinho,"3,727",22.2,"154,127,881","14,889","8,354,745",72,5,26,"213,644"
Californication,Red Hot Chili Peppers,"3,730",22.2,"1,405,353,677","276,377","115,315,508",79,2,268,"1,064,069"
La Mordidita,Ricky Martin,"3,706",22.2,"301,574,752","35,991","11,957,152",61,45,22,"49,244"
Drowning (feat. Kodak Black),A Boogie Wit da Hoodie,"3,722",22.2,"921,936,314","40,536","3,970,533",56,71,5,"3,333"
One in a Million,Bebe Rexha,"3,734",22.2,"109,868,838","17,147","65,679,098",70,48,42,"866,250"
Playing Games,Summer Walker,"3,737",22.2,"177,369,022","26,786","5,711,358",58,35,8,"558,639"
Often,The Weeknd,"3,728",22.2,"982,399,328","142,822","40,628,124",73,47,26,"235,234"
Balanï¿½ï¿½o da,Matheus Fernandes,"3,719",22.2,"237,867,475","19,268","14,221,320",61,27,24,"378,419"
Better Things,aespa,"3,738",22.2,"72,446,983","7,731","5,625,254",60,20,5,"86,890"
SEVILLA,Thrife,"3,725",22.2,"26,054,526","23,652","1,011,837",41,1,1,"2,681"
GHOST!,phonk.me,"3,713",22.2,"127,080,399","24,672","15,850,206",67,7,5,"124,957"
CUTE DEPRESSED,Dyan Dxddy,"3,726",22.2,"54,477,192","3,729","21,277,335",77,2,1,378
Inolvidable,Ovy On The Drums,"3,712",22.2,"256,133,319","38,487","8,731,809",65,8,12,"11,915"
Zombie,Bad Wolves,"3,718",22.2,"391,235,723","77,293","8,225,027",6,9,8,"9,221"
NI BIEN NI MAL,Bad Bunny,"3,735",22.2,"461,199,840","57,617","14,966,162",61,14,13,"23,140"
MAï¿½ï¿½ANA SERï¿½ï¿,KAROL G,"3,721",22.2,"132,811,353","12,970","4,805,498",66,9,4,"79,090"
My Heart Goes (La Di Da),Becky Hill,"3,736",22.2,"300,361,628","57,447","23,619,962",63,94,47,"408,539"
Candy Shop,50 Cent,"3,732",22.2,"954,807,024","219,091","69,258,950",75,76,49,"662,226"
ONLY,LeeHi,"3,724",22.2,"335,212,411","50,340","7,777,287",71,8,1,"1,895"
Esperï¿½ï¿½n,Manuel Turizo,"3,729",22.2,"333,106,545","25,970","7,253,202",59,18,11,"140,309"
Gas Pedal,Sage The Gemini,"3,751",22.1,"253,903,241","57,350","12,202,121",59,25,6,"23,224"
"Mnike (feat. DJ Maphorisa, Nandipha808, Ceeka RSA & Tyron Dee)",Tyler ICU,"3,747",22.1,"54,611,633","19,814","4,852,560",61,38,4,"16,548"
DANCE CRIP,Trueno,"3,754",22.1,"265,253,887","50,642","5,259,227",61,25,10,"117,988"
stellar,.diedlonely,"3,742",22.1,"44,235,866","6,022","1,268,699",66,4,1,"43,207"
En Tu Perra Vida,Grupo Firme,"3,740",22.1,"265,126,606","24,857","13,763,202",53,14,2,"3,684"
Malibu,Miley Cyrus,"3,763",22.1,"810,044,838","87,422","33,951,824",68,136,69,"429,231"
Shut up My Moms Calling - (Sped Up),Hotel Ugly,"3,746",22.1,"428,290,193","54,042","7,715,768",75,2,2,"27,653"
Baby Shark,Super Simple Songs,"3,749",22.1,"53,980,875","4,005","631,145",55,2,2,"2,138"
Coladin,Zï¿½ï¿½ Vaqu,"3,760",22.1,"68,110,254","5,563","9,739,787",62,13,25,"498,753"
Los Botones Azules,Junior H,"3,758",22.1,"409,608,018","35,760","13,777,862",70,17,3,"173,358"
All By Myself,Alok,"3,764",22.1,"153,478,699","23,576","35,626,223",68,66,74,"2,068,935"
Joli bï¿½ï¿,Naza,"3,755",22.1,"131,677,140","35,653","2,205,297",57,28,13,"168,510"
Time of Our Lives,Pitbull,"3,739",22.1,"1,283,683,926","203,125","103,528,914",79,140,55,"140,012"
Blood // Water,grandson,"3,745",22.1,"658,966,178","132,079","18,302,636",68,10,19,"142,206"
Famous Hoes,NLE Choppa,"3,753",22.1,"126,680,278","37,176","2,555,897",54,3,3,"7,366"
This Town,Niall Horan,"3,743",22.1,"957,810,500","107,486","73,687,531",74,104,28,"109,552"
Maybe Youï¿½ï¿½ï¿½re The P,Ava Max,"3,761",22.1,"181,659,395","24,137","10,925,511",62,53,29,"602,060"
Lil Bit,Nelly,"3,792",22,"250,828,412","40,989","10,401,884",61,47,3,78
Rainy Days,V,"3,776",22,"253,540,909","10,383","13,943,814",70,4,7,"115,953"
Disaster,KSLV Noh,"3,784",22,"258,379,092","72,424","23,939,335",65,12,2,"83,044"
BLAQ ON BLAQ (feat. Luciano),HoodBlaq,"3,772",22,"8,033,479","1,347","7,618,938",70,11,6,"2,740,152"
Memories (feat. Kid Cudi),Kid Cudi,"3,778",22,"923,932,404","261,469","53,941,189",63,64,62,"1,176,459"
It's That Time,Marlon Hoffstadt,"3,789",22,"29,365,536","28,087","18,522,511",62,4,4,"84,348"
Mï¿½ï¿½lanine (feat. Were,Heuss L'enfoirï¿,"3,786",22,"14,500,608","1,528","6,768,397",71,18,16,"18,340,167"
Die A Happy Man,Thomas Rhett,"3,782",22,"622,198,235","53,548","22,066,757",66,56,13,"16,131"
Dah Dah DahDah,Nardo Wick,"3,766",22,"142,262,820","53,038","20,272,136",63,18,3,"25,942"
Sï¿½ï¿½,Anuel AA,"3,771",22,"200,764,254","45,002","9,737,159",57,35,4,"42,446"
Fed Up,Ghostemane,"3,785",22,"219,841,054","71,843","10,101,641",64,3,1,"18,907"
Slide,H.E.R.,"3,781",22,"224,529,894","50,674","7,520,303",53,43,13,"19,900"
Be The One,Eli Brown,"3,777",22,"75,309,953","34,283","39,325,226",67,20,14,"152,042"
Top 10 staTues tHat CriEd bloOd,Bring Me The Horizon,"3,788",22,"13,330,547","1,675","21,053,939",73,23,13,"359,329"
This City,Sam Fischer,"3,767",22,"633,467,655","74,321","32,015,799",63,109,44,"297,171"
Os Bico Tï¿½ï¿½o Se Perguntando (Letï¿½ï¿½,MC PH,"3,801",21.9,"131,981,248","15,020","12,049,822",65,8,12,"221,427"
Get Back,Pop Smoke,"3,800",21.9,"355,137,565","123,588","10,315,713",64,7,3,"1,969"
Panic Room,Au/Ra,"3,821",21.9,"256,361,762","54,160","11,403,808",63,26,12,"58,691"
Baila Conmigo (feat. Kelly Ruiz),Dayvi,"3,797",21.9,"417,257,612","76,682","17,689,258",62,71,30,"1,207,372"
Problemas de um Milionï¿½ï¿,WIU,"3,806",21.9,"34,042,262","3,323","20,484,664",74,7,19,"12,759,549"
Noticed,Lil Mosey,"3,819",21.9,"727,014,998","114,135","13,562,882",65,13,16,"43,022"
Shoota (feat. Lil Uzi Vert),Playboi Carti,"3,809",21.9,"686,323,132","165,691","25,912,755",70,48,7,"18,702"
The Greatest,Sia,"3,812",21.9,"669,427,500","66,668","19,682,111",62,49,35,"195,266"
Ignite,Alan Walker,"3,815",21.9,"339,954,855","61,901","8,272,313",64,14,6,"77,388"
Sharing Locations (feat. Lil Baby & Lil Durk),Meek Mill,"3,805",21.9,"172,558,590","71,478","11,466,134",53,49,14,"547,022"
Vette Motors,YoungBoy Never Broke Again,"3,814",21.9,"80,585,683","16,202","12,738,423",19,3,1,"4,717"
Overwhelmed,Royal & the Serpent,"3,813",21.9,"189,175,699","49,325","8,000,164",62,14,6,"74,359"
Good as Hell,Lizzo,"3,799",21.9,"627,625,151","76,581","23,235,611",66,41,36,"605,881"
Caroline,Aminï¿,"3,802",21.9,"761,038,233","121,158","21,027,698",64,129,18,"61,319"
Adictiva,Daddy Yankee,"3,817",21.9,"428,271,245","50,261","14,055,347",62,34,25,"158,052"
Kitsch,IVE,"3,798",21.9,"146,489,854","12,540","4,019,167",64,16,1,35
Rewrite The Stars,Zac Efron,"3,823",21.8,"989,608,207","89,520","20,163,755",67,42,10,"9,859"
Hype Boy,NewJeans,"3,836",21.8,"541,018,402","37,204","14,531,541",74,32,4,"10,871"
Enchanted (Taylor's Version),Taylor Swift,"3,842",21.8,"285,889,664","23,393","21,692,426",75,23,2,"398,036"
GUCCI LOS PAï¿½ï,KAROL G,"3,826",21.8,"121,721,506","8,049","3,681,766",67,10,1,"1,666"
Legends Never Die,League of Legends,"3,841",21.8,"595,564,275","93,643","10,186,393",70,5,6,"48,476"
Michi Teyu Ku (Overflowing),Fujii Kaze,"3,825",21.8,"33,845,527","1,766","5,537,845",69,27,1,"9,615"
Desde Esa Noche,Thalia,"3,845",21.8,"322,003,779","25,025","10,799,784",59,27,19,"31,834"
SOS (feat. Aloe Blacc),Avicii,"3,839",21.8,"763,658,190","99,429","20,117,915",66,143,163,"847,295"
FRANCHISE (feat. Young Thug & M.I.A.),Travis Scott,"3,830",21.8,"278,032,053","79,755","13,755,423",63,58,21,"21,659"
Kya Baat Ay,Harrdy Sandhu,"3,831",21.8,"115,373,265","10,885","2,902,589",60,11,1,"1,097"
Do not touch,MISAMO,"3,828",21.8,"65,157,999","8,260","3,310,476",57,7,1,"15,087"
PERSIAN RUGS,PARTYNEXTDOOR,"3,840",21.8,"113,153,819","35,421","6,478,459",65,21,3,"1,596"
Ambition For Cash,Key Glock,"3,835",21.8,"315,336,758","79,303","26,443,727",70,30,3,"7,312"
En Peligro de Extinciï¿½,La Adictiva,"3,832",21.8,"310,742,518","20,307","11,542,516",65,10,2,"10,405"
ýýýýýý,ýýýýýýýýýýýý,"3,834",21.8,"46,945,798","4,120","5,907,064",70,24,1,"20,798"
Be Kind (with Halsey),Marshmello,"3,829",21.8,"664,972,754","67,417","29,811,087",67,139,40,"340,692"
I GOT YOU,TWICE,"3,843",21.8,"56,463,608","3,500","6,710,198",13,6,7,"212,210"
Zukunft Pink (feat. Inï¿½ï,Peter Fox,"3,822",21.8,"131,713,257","43,947","6,669,237",58,17,10,"891,590"
CCC,Michelle Maciel,"3,837",21.8,"205,855,278","15,475","4,201,646",67,12,10,"1,530,824"
Dime,El Malilla,"3,827",21.8,"40,072,883","1,248","57,818,152",75,8,5,"308,308"
Electric Love,Bï¿½ï¿,"3,874",21.7,"1,088,889,743","190,953","46,698,179",75,91,19,"10,937"
lo que hay x aquï¿,Rels B,"3,868",21.7,"223,617,742","28,508","7,355,147",73,4,3,"26,281"
Los Cachos,Piso 21,"3,858",21.7,"281,927,185","27,199","9,782,411",63,11,18,"1,838,124"
Jugnu,Badshah,"3,847",21.7,"162,005,746","11,105","3,811,972",61,15,1,509
nE !?,Lvbel C5,"3,859",21.7,"24,176,156","1,698","3,907,201",71,4,1,"1,566,667"
Graduation (with Juice WRLD),benny blanco,"3,869",21.7,"358,055,646","63,452","9,753,180",58,29,6,"38,755"
Fim de Semana no Rio,Teto,"3,856",21.7,"174,165,147","32,542","6,206,794",61,16,13,"95,640"
Hot N*gga,Bobby Shmurda,"3,851",21.7,"491,313,680","122,568","20,199,078",64,70,21,"314,599"
For Tonight,Giveon,"3,848",21.7,"259,405,297","46,330","19,899,069",59,49,37,"415,938"
Barely Holdin' On,Polo G,"3,846",21.7,"49,246,411","22,225","4,792,493",59,7,14,"173,920"
Quiï¿½ï¿½reme Mientras Se P,Manuel Turizo,"3,857",21.7,"467,670,966","38,826","10,338,131",66,26,21,"270,874"
0800 HEAVEN,Nathan Dawe,"3,878",21.7,"68,189,858","14,429","12,456,842",61,44,19,"184,386"
Elegï¿½ï¿½ (feat. Dï¿½ï¿½me,Rauw Alejandro,"3,860",21.7,"439,049,524","57,496","13,084,955",63,44,13,"248,530"
Hallelujah,Pentatonix,"3,885",21.7,"441,916,342","47,499","20,527,523",55,96,35,"359,611"
March Madness,Future,"3,886",21.7,"169,574,765","46,212","10,914,718",61,72,4,"36,847"
Never Gonna Not Dance Again,P!nk,"3,884",21.7,"162,054,666","1,991","492,746",40,26,1,"6,197"
Que Calor (with J Balvin & El Alfa),Major Lazer,"3,875",21.7,"433,664,050","78,546","20,739,392",59,126,55,"854,505"
Make No Sense,YoungBoy Never Broke Again,"3,876",21.7,"404,692,736","117,843","15,973,142",69,31,5,"5,996"
STARGAZING,Travis Scott,"3,887",21.7,"740,409,304","140,977","21,048,687",70,50,17,"210,105"
All My Life,Falling In Reverse,"3,879",21.7,"4,094,651",471,"11,007,124",65,8,3,"196,154"
Munch (Feelinï¿½ï¿½,Ice Spice,"3,855",21.7,"133,459,011","35,905","9,102,015",60,36,6,"123,087"
If You Want Love,NF,"3,877",21.7,"493,699,616","78,449","16,977,422",65,15,4,"14,200"
Revenge,XXXTENTACION,"3,867",21.7,"1,356,969,354","184,465","30,276,013",81,7,4,"164,055"
White Iverson,Post Malone,"3,918",21.6,"1,135,209,969","158,507","27,779,312",70,115,28,"122,510"
Hola - Remix,Dalex,"3,900",21.6,"708,615,717","87,957","23,915,679",64,38,18,"128,629"
Say Something (feat. Chris Stapleton),Justin Timberlake,"3,891",21.6,"505,748,520","60,774","17,047,156",64,61,40,"461,856"
I Know,Kanii,"3,914",21.6,"49,939,720","15,725","2,639,765",54,4,4,"129,006"
lost souls,Baby Keem,"3,889",21.6,"206,432,478","79,180","9,708,315",64,17,9,"27,327"
Hold Me Closer,Elton John,"3,907",21.6,"400,479,389","61,255","53,203,700",68,141,63,"1,698,941"
Se Joga no Passinho,Brisa Star,"3,901",21.6,"110,101,642","13,672","3,376,873",50,10,5,"109,859"
Girls,aespa,"3,923",21.6,"115,406,939","11,617","5,520,626",62,13,6,"24,059"
Classic,MKTO,"3,922",21.6,"1,350,428,257","172,980","88,942,487",78,73,37,"99,337"
The Last Goodbye (feat. Bettye LaVette),ODESZA,"3,905",21.6,"122,957,173","65,839","15,313,309",58,27,3,"92,265"
The Weekend,SZA,"3,896",21.6,"537,523,729","71,149","22,408,790",70,98,22,"145,035"
Overloading (OVERDOSE),Mavins,"3,920",21.6,"58,523,865","18,165","3,041,519",53,40,4,"345,978"
Stole the Show,Kygo,"3,913",21.6,"964,765,127","131,842","38,541,359",70,124,90,"755,576"
Chasing After You (with Maren Morris),Ryan Hurd,"3,906",21.6,"198,942,707","22,915","8,881,878",56,43,6,"1,492"
10 Freaky Girls (with 21 Savage),Metro Boomin,"3,894",21.6,"630,863,087","164,540","26,346,726",71,34,8,"45,047"
UNA CERVEZA,Fuerza Regida,"3,908",21.6,"159,876,075","8,225","21,015,676",79,14,13,"1,870,957"
"SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)",DJ Snake,"3,909",21.6,"289,013,053","32,179","23,070,902",63,29,21,"214,565"
Teresa & Maria,alyona alyona,"3,916",21.6,"31,380,070","2,862","2,254,638",73,19,13,"250,087"
Conversations,Juice WRLD,"3,904",21.6,"407,701,213","93,838","13,263,446",68,14,6,"61,522"
Rake It Up,Yo Gotti,"3,924",21.6,"365,789,171","47,875","14,327,367",58,75,7,"28,364"
De Vuelta Pa' La Vuelta,Daddy Yankee,"3,910",21.6,"164,788,147","23,301","15,473,906",62,23,5,"14,722"
Sunshine,OneRepublic,"3,898",21.6,"426,609,723","59,377","40,654,330",73,58,46,"360,130"
Walk,Kodak Black,"3,903",21.6,"62,323,136","33,941","10,580,136",54,6,1,"4,517"
9 bis 9,SIRA,"3,935",21.5,"107,950,388","34,675","5,950,045",66,18,11,"3,411,294"
Versace on the Floor,Bruno Mars,"3,949",21.5,"797,648,369","64,011","17,977,153",72,73,32,"689,571"
Bailando,El Jordan 23,"3,954",21.5,"138,986,512","24,359","2,386,279",61,4,1,"3,148"
Runaway (U & I) [Dance],MELON,"3,961",21.5,"13,502,324","3,124","10,531,046",42,1,3,"167,042"
Love Me Like This,NMIXX,"3,937",21.5,"96,439,278","9,999","5,451,670",64,6,2,192
Buss It,Erica Banks,"3,936",21.5,"145,000,664","32,202","13,605,018",53,34,13,"13,556"
Matte Black,$uicideboy$,"3,938",21.5,"162,889,846","45,505","2,568,098",69,1,1,"53,318"
Animals,Martin Garrix,"3,957",21.5,"413,855,724","67,911","11,433,179",61,80,27,"64,976"
FRIKI,Feid,"3,939",21.5,"255,973,824","28,166","14,221,715",71,30,14,"276,606"
GOAT,Number_i,"3,951",21.5,"34,820,660",762,"2,929,511",66,8,1,"9,615"
Bondade de Deus,Isaias Saad,"3,960",21.5,"91,842,323","15,910","8,695,499",63,10,56,"7,488,178"
Let The Light In (feat. Father John Misty),Lana Del Rey,"3,932",21.5,"240,686,521","33,016","33,841,199",75,3,13,"499,463"
Love 119,RIIZE,"3,928",21.5,"40,415,304","2,509","8,351,511",59,10,5,"158,455"
Jar of Hearts,Christina Perri,"3,945",21.5,"534,874,667","65,494","31,544,782",65,42,20,"25,418"
UP,INNA,"3,944",21.5,"35,440,292","7,611","1,055,511",49,8,9,"457,320"
LOS APARATOS,El Alfa,"3,943",21.5,"137,720,938","30,579","5,580,377",65,12,6,"67,183"
ýýQuýý Nos Pasýý?,Anuel AA,"3,926",21.5,"161,990,851","31,668","4,718,236",68,5,1,"31,377"
I Won't Give Up,Jason Mraz,"3,925",21.5,"850,863,163","91,617","43,046,356",62,70,29,"76,256"
I GUESS I'M IN LOVE,Clinton Kane,"3,959",21.5,"416,972,132","75,352","37,597,369",63,37,30,"154,015"
Tapï¿½ï¿½o Na,Raï¿½ï¿½ Saia Ro,"3,933",21.5,"196,159,389","21,913","6,808,067",53,23,49,"201,574"
SWEET / I THOUGHT YOU WANTED TO DANCE,"Tyler, The Creator","3,947",21.5,"269,671,235","93,761","9,361,340",69,10,3,"12,887"
Try,P!nk,"3,955",21.5,"662,971,898","94,974","33,907,759",74,57,38,"415,220"
Can I Call You Tonight?,Dayglow,"3,930",21.5,"596,164,214","158,639","32,332,004",71,30,10,"121,871"
Sweet Child O' Mine,Guns N' Roses,"3,931",21.5,"1,879,386,440","295,491","96,032,046",80,212,215,"3,290,536"
DISPO,KAROL G,"3,952",21.5,"113,567,783","11,700","10,018,246",68,7,2,"239,220"
Obsessed,Riar Saab,"3,972",21.4,"161,366,691","18,781","6,151,558",64,22,1,"1,097"
Ropa Cara,Camilo,"3,979",21.4,"185,362,995","19,981","3,838,967",50,43,9,"83,927"
Straightenin,Migos,"3,968",21.4,"135,665,686","61,959","9,905,843",51,67,16,"139,088"
Bring Me To Life,Evanescence,"3,963",21.4,"1,129,346,989","229,491","68,545,536",79,91,70,"765,734"
Me Gusta,Shakira,"3,991",21.4,"353,815,769","49,237","19,452,357",61,95,41,"325,193"
Middle,DJ Snake,"3,974",21.4,"1,068,023,888","136,601","31,036,842",70,193,71,"231,159"
Different 'Round Here,Riley Green,"3,980",21.4,"74,806,048","9,014","9,899,290",60,14,7,"1,677,801"
Jumpshot,Dawin,"3,976",21.4,"71,345,247","8,334","1,543,930",45,2,1,"2,924"
Mockingbird,Eminem,"3,983",21.4,"1,680,919,413","293,385","44,640,604",82,79,31,"722,512"
Asesina,Brytiago,"3,982",21.4,"362,670,547","33,711","5,993,578",62,11,9,"17,915"
bread & butter,Gunna,"3,977",21.4,"50,098,085","29,986","3,865,630",54,40,2,"5,937"
ýýýýýýýýýýýý,Aimer,"3,975",21.4,"227,696,852","34,276","6,961,653",63,35,5,"8,662"
Smile (with The Weeknd),Juice WRLD,"3,984",21.4,"463,970,393","92,879","13,210,421",62,46,16,"6,406"
Show Me How,Men I Trust,"3,965",21.4,"466,462,034","145,278","21,911,416",20,25,5,"7,432"
Pour It Up,Rihanna,"3,964",21.4,"417,616,725","59,548","22,751,107",64,53,19,"201,083"
Love Is Gone - Acoustic,SLANDER,"3,993",21.3,"486,647,778","83,294","21,025,597",71,6,1,380
Yakï¿½ï¿½ï¿½ï,Kï¿½ï,"4,017",21.3,"63,563,583","3,408","7,197,789",69,12,4,"1,584,544"
Por las Noches (Remix),Peso Pluma,"4,023",21.3,"129,370,457","14,028","4,216,550",62,8,6,"40,004"
TABU.,Yung Yury,"4,009",21.3,"110,533,607","40,021","4,746,927",63,12,4,"8,084"
Toxic,YG,"4,006",21.3,"36,861,625","18,739","2,015,690",48,7,7,"25,236"
Solid (feat. Drake),Young Stoner Life,"3,992",21.3,"277,393,068","103,470","22,919,370",61,73,15,"63,439"
Joro,Wizkid,"4,005",21.3,"117,819,788","59,052","4,339,220",59,59,27,"155,965"
Stop Breathing,Playboi Carti,"4,002",21.3,"178,750,521","76,739","7,135,729",66,7,3,"1,625"
The Rapture Pt.III,&ME,"4,016",21.3,"34,601,626","34,272","14,914,861",65,20,9,"38,641"
all the good girls go to hell,Billie Eilish,"4,008",21.3,"640,099,263","74,072","22,449,798",68,40,19,"231,931"
Mï¿½ï¿½,Nio Garcia,"4,015",21.3,"76,516,847","14,310","2,814,938",48,3,1,619
Father Stretch My Hands Pt. 1,Kanye West,"4,003",21.3,"1,102,322,992","191,719","29,522,697",79,88,17,"200,329"
505,Arctic Monkeys,"3,999",21.3,"1,660,504,577","315,657","60,158,552",80,33,25,"749,483"
Banco do Carona,Mc Don Juan,"4,019",21.3,"71,078,859","9,468","8,189,292",60,3,18,"271,037"
Colors,Black Pumas,"4,014",21.3,"215,492,373","91,317","9,796,420",67,36,16,"251,559"
